deal_id,contact_id,deal_name,deal_stage,amount,created_date,close_date,owner
2,3,Analytics Dashboard Upgrade,qualification,18000.0,2024-01-12,2024-02-15,Alex Morgan
4,1,Workflow Automation Build,closed won,32000.0,2024-01-16,2024-02-02,Jamie Lee
7,4,HR Analytics Suite,closed lost,40000.0,2024-01-22,2024-02-01,Alex Morgan
8,2,Lead Scoring Model,qualification,12000.0,2024-01-24,2024-02-20,Jamie Lee
12,13,Sales Enablement Toolkit,qualification,16000.0,2024-02-03,2024-03-01,Jordan Smith
14,10,Pipeline Health Review,closed won,8000.0,2024-02-07,2024-02-25,Jamie Lee
17,18,Marketing Ops Automation,qualification,21000.0,2024-02-13,2024-03-10,Alex Morgan
19,17,Lead Routing Optimization,closed lost,9000.0,2024-02-17,2024-03-05,Jamie Lee
22,23,Attribution Model Build,qualification,17000.0,2024-02-23,2024-03-18,Alex Morgan
24,24,HR Workflow Automation,closed won,31000.0,2024-02-27,2024-03-12,Alex Morgan
27,27,CRM Custom Reporting,qualification,16000.0,2024-03-04,2024-04-01,Jamie Lee
29,29,Data Hygiene Overhaul,closed lost,10000.0,2024-03-08,2024-03-28,Jordan Smith
32,32,Engineering Workflow Optimization,qualification,20000.0,2024-03-14,2024-04-10,Alex Morgan
34,34,Revenue Insights Dashboard,closed won,27000.0,2024-03-18,2024-04-02,Jamie Lee
37,37,Sales Funnel Optimization,qualification,18000.0,2024-03-24,2024-04-20,Jamie Lee
39,39,Marketing Attribution Setup,closed lost,14000.0,2024-03-28,2024-04-15,Jordan Smith
42,42,Lead Scoring Model,qualification,12000.0,2024-04-03,2024-04-28,Jamie Lee
44,44,HR Analytics Suite,closed won,40000.0,2024-04-07,2024-04-25,Alex Morgan
47,47,Marketing Ops Automation,qualification,21000.0,2024-04-13,2024-05-10,Jamie Lee
49,49,Lead Routing Optimization,closed lost,9000.0,2024-04-17,2024-05-05,Jordan Smith
52,52,Attribution Model Build,qualification,17000.0,2024-04-23,2024-05-18,Alex Morgan
54,54,HR Workflow Automation,closed won,31000.0,2024-04-27,2024-05-12,Jordan Smith
57,57,CRM Custom Reporting,qualification,16000.0,2024-05-03,2024-06-01,Jordan Smith
59,59,Data Hygiene Overhaul,closed lost,10000.0,2024-05-07,2024-05-28,Alex Morgan
62,62,Engineering Workflow Optimization,qualification,20000.0,2024-05-13,2024-06-10,Alex Morgan
64,64,Revenue Insights Dashboard,closed won,27000.0,2024-05-17,2024-06-02,Jordan Smith
67,67,Sales Funnel Optimization,qualification,18000.0,2024-05-23,2024-06-20,Jamie Lee
69,69,Marketing Attribution Setup,closed lost,14000.0,2024-05-27,2024-06-15,Jordan Smith
72,72,Lead Scoring Model,qualification,12000.0,2024-06-02,2024-06-28,Jamie Lee
74,74,HR Analytics Suite,closed won,40000.0,2024-06-06,2024-06-25,Jordan Smith
77,77,Marketing Ops Automation,qualification,21000.0,2024-06-12,2024-07-10,Jordan Smith
79,79,Lead Routing Optimization,closed lost,9000.0,2024-06-16,2024-07-05,Alex Morgan
82,82,Attribution Model Build,qualification,17000.0,2024-06-22,2024-07-18,Jamie Lee
84,84,HR Workflow Automation,closed won,31000.0,2024-06-26,2024-07-12,Jordan Smith
